Health Record ID,User ID,User Name,Dolphin ID,Dolphin Name,Normal Floatability,Eye Lesions,Visual Cues,Mouth Exam,Gastric Abnormality,Respiratory Disease,Force Expiration,External Disease Signs,Normal Floatability Comments,Eye Lesions Comments,Visual Cues Comments,Mouth Exam Comments,Gastric Abnormality Comments,Respiratory Disease Comments,Force Expiration Comments,External Disease Signs Comments,Eye Photo Path,Teeth Photo Path,Created At,Updated At
35,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"uploads/1712042111937-872465828.png,uploads/1712042111943-631430701.png,uploads/1712042111947-925582715.png",,Tue Apr 02 2024 07:15:14 GMT+0200 (Mitteleuropäische Sommerzeit),Tue Apr 02 2024 09:15:14 GMT+0200 (Mitteleuropäische Sommerzeit)
36,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"localhost:3309/images/1712043585698-90498310.png,localhost:3309/images/1712043585703-279340741.png,localhost:3309/images/1712043585710-515213946.png",,Tue Apr 02 2024 07:39:49 GMT+0200 (Mitteleuropäische Sommerzeit),Tue Apr 02 2024 09:39:49 GMT+0200 (Mitteleuropäische Sommerzeit)
2,2,,2,Donna,1,2,1,1,,1,1,1,,,,,,,,,,,Sun Mar 31 2024 14:38:26 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 14:38:26 GMT+0200 (Mitteleuropäische Sommerzeit)
8,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711889344470-214779160.png,,Sun Mar 31 2024 12:49:38 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 14:49:38 GMT+0200 (Mitteleuropäische Sommerzeit)
9,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711890962822-758282548.png,,Sun Mar 31 2024 13:16:04 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 15:16:04 GMT+0200 (Mitteleuropäische Sommerzeit)
10,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711891137040-727355847.png,,Sun Mar 31 2024 13:18:59 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 15:18:59 GMT+0200 (Mitteleuropäische Sommerzeit)
11,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"uploads/1711891161119-502005855.png,uploads/1711891161121-605837112.png",,Sun Mar 31 2024 13:19:24 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 15:19:24 GMT+0200 (Mitteleuropäische Sommerzeit)
12,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"uploads/1711897540721-121423265.png,uploads/1711897540723-746271020.png",,Sun Mar 31 2024 15:05:46 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 17:05:46 GMT+0200 (Mitteleuropäische Sommerzeit)
13,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"uploads/1711901269590-720234093.png,uploads/1711901269592-603065473.png",,Sun Mar 31 2024 16:07:51 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 18:07:51 GMT+0200 (Mitteleuropäische Sommerzeit)
14,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"uploads/1711902948075-52591377.png,uploads/1711902948078-880937251.png",,Sun Mar 31 2024 16:35:49 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 18:35:49 GMT+0200 (Mitteleuropäische Sommerzeit)
