Feeding Record ID,User ID,User Name,Dolphin ID,Dolphin Name,Body Condition Score,Weight Measured,Kcal Calculations,Blood Hydration,Fish Quality,Fish Variety,Body Condition Score Comments,Weight Measured Comments,Kcal Calculations Comments,Blood Hydration Comments,Fish Quality Comments,Fish Variety Comments,Created At,Updated At
3,3,,3,Jenny,2,180.5,1,1,1,1,,,,,,,Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit)
10,1,,3,Jenny,1,,,,,,,,,,,,Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit)
17,1,,3,Jenny,2,140,,,,,test comment,,,,,,Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit)
24,1,,3,Jenny,,,,,,,,,,,,,Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit)
31,1,,3,Jenny,,,1,,,,,,,,,,Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit)
38,1,,3,Jenny,,,,,,,,,,,,,Fri Mar 08 2024 14:53:36 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:53:36 GMT+0100 (Mitteleuropäische Normalzeit)
45,1,,3,Jenny,1,,,,,,,,,,,,Fri Mar 08 2024 16:06:21 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 16:06:21 GMT+0100 (Mitteleuropäische Normalzeit)
52,1,,3,Jenny,,,,,,,,,,,,,Fri Mar 08 2024 16:36:36 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 16:36:36 GMT+0100 (Mitteleuropäische Normalzeit)
59,1,,3,Jenny,,,,,,,,,,,,,Fri Mar 08 2024 17:03:55 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 17:03:55 GMT+0100 (Mitteleuropäische Normalzeit)
66,1,,3,Jenny,,,,,,,,,,,,,Fri Mar 08 2024 18:55:07 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 18:55:07 GMT+0100 (Mitteleuropäische Normalzeit)
73,1,,3,Jenny,1,,,,,,,,,,,,Sat Mar 09 2024 10:44:40 GMT+0100 (Mitteleuropäische Normalzeit),Sat Mar 09 2024 10:44:40 GMT+0100 (Mitteleuropäische Normalzeit)
80,1,,3,Jenny,,,,,,,,,,,,,Sat Mar 09 2024 10:44:55 GMT+0100 (Mitteleuropäische Normalzeit),Sat Mar 09 2024 10:44:55 GMT+0100 (Mitteleuropäische Normalzeit)
87,1,,3,Jenny,,,,,1,,,,,,,,Sat Mar 09 2024 10:45:20 GMT+0100 (Mitteleuropäische Normalzeit),Sat Mar 09 2024 10:45:20 GMT+0100 (Mitteleuropäische Normalzeit)
94,1,,3,Jenny,,,,,,,,,,,,,Sat Mar 09 2024 10:45:51 GMT+0100 (Mitteleuropäische Normalzeit),Sat Mar 09 2024 10:45:51 GMT+0100 (Mitteleuropäische Normalzeit)
101,1,,3,Jenny,1,,,,,,,,,,,,Sat Mar 09 2024 10:46:17 GMT+0100 (Mitteleuropäische Normalzeit),Sat Mar 09 2024 10:46:17 GMT+0100 (Mitteleuropäische Normalzeit)
108,1,,3,Jenny,,,,,,,,,,,,,Sat Mar 09 2024 10:53:22 GMT+0100 (Mitteleuropäische Normalzeit),Sat Mar 09 2024 10:53:22 GMT+0100 (Mitteleuropäische Normalzeit)
115,1,,3,Jenny,,,,,,,,,,,,,Sun Mar 10 2024 10:16:49 GMT+0100 (Mitteleuropäische Normalzeit),Sun Mar 10 2024 10:16:49 GMT+0100 (Mitteleuropäische Normalzeit)
122,1,,3,Jenny,,,,,,,,,,,,,Sun Mar 10 2024 16:32:54 GMT+0100 (Mitteleuropäische Normalzeit),Sun Mar 10 2024 16:32:54 GMT+0100 (Mitteleuropäische Normalzeit)
129,4,Daniel,3,Jenny,,,,,,,,,,,,,Sun Mar 10 2024 19:39:04 GMT+0100 (Mitteleuropäische Normalzeit),Sun Mar 10 2024 19:39:04 GMT+0100 (Mitteleuropäische Normalzeit)
137,5,test,3,Jenny,1,,,,,,,,,,,,Mon Mar 11 2024 21:37:32 GMT+0100 (Mitteleuropäische Normalzeit),Mon Mar 11 2024 21:37:32 GMT+0100 (Mitteleuropäische Normalzeit)
144,5,test,3,Jenny,1,,,,,,,,,,,,Mon Mar 11 2024 21:43:20 GMT+0100 (Mitteleuropäische Normalzeit),Mon Mar 11 2024 21:43:20 GMT+0100 (Mitteleuropäische Normalzeit)
151,4,Daniel,3,Jenny,,,,,,,,,,,,,Wed Mar 20 2024 12:09:03 GMT+0100 (Mitteleuropäische Normalzeit),Wed Mar 20 2024 12:09:03 GMT+0100 (Mitteleuropäische Normalzeit)
158,4,Daniel,3,Jenny,,,,,,,,,,,,,Wed Mar 20 2024 12:58:16 GMT+0100 (Mitteleuropäische Normalzeit),Wed Mar 20 2024 12:58:16 GMT+0100 (Mitteleuropäische Normalzeit)
