Feeding Record ID,User ID,User Name,Dolphin ID,Dolphin Name,Body Condition Score,Weight Measured,Kcal Calculations,Blood Hydration,Fish Quality,Fish Variety,Body Condition Score Comments,Weight Measured Comments,Kcal Calculations Comments,Blood Hydration Comments,Fish Quality Comments,Fish Variety Comments,Created At,Updated At
1,1,,1,Dolly,1,165,2,1,1,1,,,,,,,Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit)
2,2,,2,Donna,1,172,1,2,1,1,,,,,,,Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit)
3,3,,3,Jenny,2,180.5,1,1,1,1,,,,,,,Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit)
4,3,,4,Nami,1,195,1,1,1,1,,,,,,,Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit)
5,1,,5,Nynke,2,155,1,1,1,1,,,,,,,Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit)
6,2,,6,Sunny,1,161,1,1,1,1,,,,,,,Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit)
7,1,,7,Dörte,1,164,1,1,1,1,,,,,,,Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 11:54:32 GMT+0100 (Mitteleuropäische Normalzeit)
8,1,,1,Dolly,1,,,,,,,,,,,,Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit)
9,1,,2,Donna,1,,,,,,,,,,,,Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit)
10,1,,3,Jenny,1,,,,,,,,,,,,Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit)
11,1,,4,Nami,1,,,,,,,,,,,,Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit)
12,1,,5,Nynke,1,,,,,,,,,,,,Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit)
13,1,,6,Sunny,1,,,,,,,,,,,,Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit)
14,1,,7,Dörte,1,,,,,,,,,,,,Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 12:40:16 GMT+0100 (Mitteleuropäische Normalzeit)
15,1,,1,Dolly,2,140,,,,,test comment,,,,,,Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit)
16,1,,2,Donna,,,,,,,,,,,,,Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit)
17,1,,3,Jenny,2,140,,,,,test comment,,,,,,Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit)
18,1,,4,Nami,2,140,,,,,test comment,,,,,,Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit)
19,1,,5,Nynke,,,,,,,,,,,,,Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit)
20,1,,6,Sunny,,,,,,,,,,,,,Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit)
21,1,,7,Dörte,,,,,,,,,,,,,Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 13:06:17 GMT+0100 (Mitteleuropäische Normalzeit)
22,1,,1,Dolly,2,,,,,,,,,,,,Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit)
23,1,,2,Donna,,,,,,,,,,,,,Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit)
24,1,,3,Jenny,,,,,,,,,,,,,Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit)
25,1,,4,Nami,,,,,,,,,,,,,Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit)
26,1,,5,Nynke,,,,,,,,,,,,,Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit)
27,1,,6,Sunny,,,,,,,,,,,,,Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit)
28,1,,7,Dörte,,,,,,,,,,,,,Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:44:24 GMT+0100 (Mitteleuropäische Normalzeit)
29,1,,1,Dolly,,,1,,,,,,,,,,Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit)
30,1,,2,Donna,,,1,,,,,,,,,,Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit)
31,1,,3,Jenny,,,1,,,,,,,,,,Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit)
32,1,,4,Nami,,,1,,,,,,,,,,Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit)
33,1,,5,Nynke,,,1,,,,,,,,,,Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit)
34,1,,6,Sunny,,,1,,,,,,,,,,Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit)
35,1,,7,Dörte,,,1,,,,,,,,,,Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:48:26 GMT+0100 (Mitteleuropäische Normalzeit)
36,1,,1,Dolly,,,,,,,,,,,,,Fri Mar 08 2024 14:53:35 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:53:35 GMT+0100 (Mitteleuropäische Normalzeit)
37,1,,2,Donna,,,,,,,,,,,,,Fri Mar 08 2024 14:53:36 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:53:36 GMT+0100 (Mitteleuropäische Normalzeit)
38,1,,3,Jenny,,,,,,,,,,,,,Fri Mar 08 2024 14:53:36 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:53:36 GMT+0100 (Mitteleuropäische Normalzeit)
39,1,,4,Nami,,,,,,,,,,,,,Fri Mar 08 2024 14:53:36 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:53:36 GMT+0100 (Mitteleuropäische Normalzeit)
40,1,,5,Nynke,,,,,,,,,,,,,Fri Mar 08 2024 14:53:36 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:53:36 GMT+0100 (Mitteleuropäische Normalzeit)
41,1,,6,Sunny,,,,,,,,,,,,,Fri Mar 08 2024 14:53:36 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:53:36 GMT+0100 (Mitteleuropäische Normalzeit)
42,1,,7,Dörte,,,,,,,,,,,,,Fri Mar 08 2024 14:53:36 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 14:53:36 GMT+0100 (Mitteleuropäische Normalzeit)
43,1,,1,Dolly,1,,1,,,,,,,,,,Fri Mar 08 2024 16:06:21 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 16:06:21 GMT+0100 (Mitteleuropäische Normalzeit)
44,1,,2,Donna,1,,,,,,,,,,,,Fri Mar 08 2024 16:06:21 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 16:06:21 GMT+0100 (Mitteleuropäische Normalzeit)
45,1,,3,Jenny,1,,,,,,,,,,,,Fri Mar 08 2024 16:06:21 GMT+0100 (Mitteleuropäische Normalzeit),Fri Mar 08 2024 16:06:21 GMT+0100 (Mitteleuropäische Normalzeit)
